,State,2015,fips
0,Alabama,290110100,US01
1,Alaska,36978050,US02
2,Arizona,64627650,US04
3,Arkansas,93416075,US05
4,California,1.89816525E9,US06
5,Colarado,2.81093375E8,US08
6,Connecticut,2.0295675E8,US09
8,Delaware,3.69161E7,US10
7,District of Columbia,3.6888475E7,US11
9,Florida,8.48989075E8,US12
10,Georgia,4.347376E8,US13
11,Hawaii,6.95163E7,US15
13,Idaho,88350.0,US16
14,Illinois,5.3906845E8,US17
15,Indiana,2.024939E8,US18
12,Iowa,114075.0,US19
16,Kansas,1.16395875E8,US20
17,Kentucky,1.22134075E8,US21
18,Louisiana,1.56927675E8,US22
19,Maine,3.22894475E8,US23
21,Mayland,8131825.0,US24
20,Massachusets,3.25456675E8,US25
22,Michigan,3.264678E8,US26
23,Minnesota,2.2873345E8,US27
25,Mississippi,5.704875E7,US28
24,Missouri,2.04867775E8,US29
26,Montana,3.52971E7,US30
29,Nebraska,1.715505E7,US31
33,Nevada,1.72459575E8,US32
30,New Hampshire,6.35559E7,US33
31,New Jersey,5.15253E8,US34
32,New Mexico,7.3662975E7,US35
34,New York,1.076941975E9,US36
27,North Carolina,3.61878125E8,US37
28,North Dakota,7447300.0,US38
35,Ohio,4.22675375E8,US39
36,Oklahoma,1.20003025E8,US40
37,Oregon,1.493521E8,US41
38,Pennsylvania,4.55642875E8,US42
39,Rhode Island,5.50522E7,US44
40,South Carolina,1.576886E8,US45
41,South Dakota,2.4896575E7,US46
42,Tennessee,1.9198165E8,US47
43,Texas,1.109129575E9,US48
44,Utah,9.185615E7,US49
46,Vermont,2.517335E7,US50
45,Virginia,4.1122205E8,US51
47,Washington,2.89275875E8,US53
48,Wisconsin,1.6540585E8,US54
49,West Virginia,6.4272975E7,US55
50,Wyoming,3.1072775E7,US56